1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
adenosine nucleotides degradation III	3.2.2.4
guanine and guanosine salvage III	2.7.1.73
adenine and adenosine salvage VI	2.7.1.20
nicotine degradation IV	2.4.1.17 1.1.-.- 1.1.-.- 1.14.13.8 1.14.14.1 1.2.1.83 1.4.3.24 1.14.19.- 1.2.3.-
guanine and guanosine salvage	2.4.2.8 2.4.2.15 2.4.2.1
salicylate glucosides biosynthesis I	2.4.1.-
ethanol degradation II	1.1.1.1 6.2.1.1 1.2.1.3
nicotine degradation V	1.14.14.1 1.1.-.- 1.1.-.- 1.14.14.- 1.14.19.- 2.4.1.17 1.14.14.1 2.4.1.17 1.14.14.1 1.2.3.-
heptadecane biosynthesis	1.2.1.80 4.1.99.5 6.2.1.20
salicylate glucosides biosynthesis II	2.4.1.- 1.14.13.172
bupropion degradation	1.1.-.- 1.14.14.1 1.1.-.-
salicylate glucosides biosynthesis III	2.4.1.-
cytidine-5'-diphosphate-glycerol biosynthesis	2.7.7.- 1.1.1.- 1.1.1.- 2.7.1.-
salinosporamide A biosynthesis	5.4.99.5 2.3.1.- 2.6.1.- 2.4.2.1 2.5.1.94 3.1.3.- 4.2.1.- 4.1.1.- 4.2.1.- 1.1.1.-
superpathway of L-phenylalanine biosynthesis	4.2.3.4 4.2.1.51 1.1.1.282 2.6.1.1 2.6.1.57 2.6.1.27 5.4.99.5 4.2.3.5 2.5.1.19 2.7.1.71 1.1.1.25 4.2.1.10 2.5.1.54
superpathway of L-tryptophan biosynthesis	4.1.2.8 4.2.1.122 4.2.3.4 2.5.1.54 4.2.3.5 2.5.1.19 2.7.1.71 1.1.1.25 4.2.1.10 1.1.1.282 4.1.1.48 5.3.1.24 2.4.2.18 4.1.3.27
catecholamine biosynthesis	2.1.1.28 1.14.17.1 4.1.1.28 1.14.16.2
superpathway of L-tyrosine biosynthesis	2.7.1.71 2.6.1.27 2.6.1.5 2.6.1.57 1.3.1.12 5.4.99.5 4.2.3.5 2.5.1.19 1.1.1.25 1.1.1.282 4.2.1.10 4.2.3.4 2.5.1.54
tricetin methylation	
caffeine degradation IV (bacteria, via demethylation and oxidation)	1.14.13.128 1.17.1.4 1.17.3.2 1.14.13.178 1.14.13.179 1.14.13.178 1.14.13.179
caffeine degradation V (bacteria, via trimethylurate)	1.17.5.2 4.1.1.- 3.5.2.- 1.14.13.212
cholesterol biosynthesis I	1.1.1.270 1.3.1.21 1.14.19.20 1.3.1.72 5.3.3.5 1.1.1.270 1.1.1.170 1.14.14.17 2.5.1.21 1.3.1.70 1.1.1.170 5.4.99.7
3-sulfopropanediol degradation	1.1.1.- 1.1.1.308 1.1.1.-
flavin biosynthesis IV (mammalian)	2.7.7.2 2.7.1.26
ketogenesis	2.3.1.16 2.3.1.9 4.1.1.4 1.1.1.30 4.1.3.4 2.3.3.10
ketolysis	2.8.3.5 2.3.1.16 2.3.1.9 1.1.1.30
salicylate degradation III	4.1.1.91
sucrose degradation V (sucrose &alpha;-glucosidase)	4.1.2.13 5.3.1.1 2.7.1.28 3.2.1.26 3.2.1.48 2.7.1.3
C20 prostanoid biosynthesis	5.3.99.4 5.3.99.2 5.3.99.3 5.3.99.5 1.14.99.1
leukotriene biosynthesis	3.3.2.6 4.4.1.20 3.4.13.19 2.3.2.2
pregnenolone biosynthesis	
androgen biosynthesis	1.3.1.22 5.3.3.1 1.1.1.64 1.1.1.145 1.14.14.19 1.14.14.32
sulfolactate degradation II	2.3.1.8 1.1.1.- 2.3.3.15 4.1.1.79
estradiol biosynthesis I (via estrone)	1.1.1.62
glucocorticoid biosynthesis	1.14.15.4 1.14.15.- 1.14.14.19
mineralocorticoid biosynthesis	1.14.15.- 1.14.15.5 1.14.15.5 1.14.15.4
fatty acid &alpha;-oxidation II	1.2.1.3 6.2.1.3 6.2.1.3 3.1.2.10 4.1.2.- 1.14.11.-
fatty acid &alpha;-oxidation III	3.1.2.10 3.5.1.23 6.2.1.3 1.2.1.3 4.1.2.- 6.2.1.- 1.14.18.6
phytol degradation	6.2.1.3 1.3.1.38 1.1.1.1 1.2.1.3
sulfolactate degradation III	2.6.1.1 4.4.1.25 1.1.1.-
fatty acid &beta;-oxidation VI (peroxisome)	6.2.1.- 2.3.1.16 1.1.1.M19 4.2.1.119 1.1.1.35 4.2.1.17 1.3.3.6
lipoxin biosynthesis	1.13.11.34 1.13.11.- 1.13.11.- 1.13.11.- 1.13.11.-
aspirin-triggered lipoxin biosynthesis	1.13.11.-
aspirin triggered resolvin E biosynthesis	3.1.1.4
aspirin triggered resolvin D biosynthesis	1.13.11.- 1.13.11.- 3.3.2.- 3.3.2.- 4.2.1.- 1.13.11.- 3.3.2.- 3.3.2.- 4.2.1.- 1.11.1.- 3.1.1.4
resolvin D biosynthesis	1.13.11.- 3.3.2.- 3.3.2.- 4.1.2.- 1.13.11.- 3.3.2.- 3.3.2.- 4.2.1.- 1.13.11.- 1.11.1.- 3.1.1.4
TCA cycle III (animals)	6.2.1.5 1.2.4.2 1.1.1.286 1.1.1.41 2.3.3.16 2.3.3.1 1.1.1.37 4.2.1.2 1.3.5.1 6.2.1.4 2.3.1.61
gluconeogenesis III	6.4.1.1 3.1.3.58 3.1.3.9 5.3.1.9 3.1.3.11 4.1.2.13 5.3.1.1 1.2.1.12 2.7.2.3 5.4.2.11 4.2.1.11 4.1.1.32 1.1.1.37
cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	1.3.1.21 1.14.19.20 5.3.3.5 1.1.1.270 1.1.1.170 1.1.1.270 1.1.1.170 1.14.14.17 1.3.1.70 1.3.1.72 5.4.99.7 2.5.1.21
superpathway of purine nucleotide salvage	2.4.2.15 2.4.2.1 2.7.4.6 2.7.4.8 2.4.2.8 2.4.2.7 2.7.1.20 2.4.2.1 2.4.2.1 3.5.4.4 2.4.2.8 1.1.1.205 6.3.5.2 6.3.4.4 4.3.2.2 2.7.4.3 1.17.4.1 2.7.4.6
salicylate degradation IV	1.13.11.4 1.14.13.209
superpathway of sulfolactate degradation	2.3.1.8 1.1.1.- 4.4.1.25 2.6.1.1 2.3.3.15 4.1.1.79
carnosine biosynthesis	6.3.2.11
homocarnosine biosynthesis	6.3.2.11
D-galactose degradation V (Leloir pathway)	5.1.3.3 5.4.2.2 5.1.3.2 2.7.7.12 2.7.1.6
fructose 2,6-bisphosphate biosynthesis	2.7.1.105 3.1.3.46
L-lysine degradation II (L-pipecolate pathway)	1.5.1.- 1.2.1.M9 2.6.1.39 1.5.3.7 1.4.3.14 1.5.1.1 2.6.1.-
hydrogen sulfide biosynthesis II (mammalian)	4.2.1.22 4.4.1.1 4.4.1.28 4.2.1.22 4.2.1.22 4.4.1.2
L-threonine degradation V	4.3.1.19 1.2.1.M8
(<i>R</i>)-cysteate degradation	2.6.1.1 4.4.1.24 1.1.1.337
coenzyme M biosynthesis II	4.1.1.79 2.6.1.1 2.5.1.76
fluoroacetate and fluorothreonine biosynthesis	2.2.1.8 5.3.1.- 1.2.1.69 2.5.1.63 2.4.2.1
labdane-type diterpenes biosynthesis	4.2.1.133 4.2.3.190
fluoroacetate degradation	3.8.1.3
rhamnolipid biosynthesis	
glycolate and glyoxylate degradation III	4.3.1.20 1.1.99.14 4.1.3.14
cholesterol biosynthesis III (via desmosterol)	1.3.1.72 1.14.14.17 1.3.1.21 1.14.19.20 5.3.3.5 1.1.1.270 1.1.1.170 1.1.1.270 1.1.1.170 1.3.1.70 5.4.99.7 2.5.1.21
juvenile hormone III biosynthesis II	1.2.1.94 3.1.7.6 2.1.1.325 1.14.14.128 1.1.1.216
<i>ent</i> -kaurene biosynthesis II	
phosphopantothenate biosynthesis III (archaebacteria)	6.3.2.36 2.1.2.11 2.7.1.169 1.1.1.169
xanthan biosynthesis	2.7.8.31 2.5.1.95 2.4.1.251 2.4.1.264 2.4.1.252 2.4.1.-
polyhydroxydecanoate biosynthesis	4.2.1.119 2.4.1.-
acetan biosynthesis	2.4.1.252 2.4.1.264 2.4.1.- 2.7.8.31
fusicoccin A biosynthesis	2.5.1.29 2.5.1.- 1.1.1.- 1.14.20.- 4.2.3.43
superpathway of cholesterol biosynthesis	2.5.1.10 1.3.1.21 1.14.19.20 5.3.3.5 1.1.1.270 1.1.1.170 1.1.1.270 1.1.1.170 1.3.1.70 1.3.1.72 1.3.1.72 1.3.1.21 1.14.19.20 1.3.1.72 5.3.3.5 1.1.1.270 1.1.1.170 1.1.1.270 1.1.1.170 1.3.1.70 5.4.99.7 1.14.14.17 2.5.1.21 5.3.3.2 2.5.1.1 2.3.1.16 2.3.1.9 4.1.1.33 2.7.4.2 2.7.1.36 1.1.1.34 2.3.3.10
2-heptyl-3-hydroxy-4(1<i>H</i>)-quinolone biosynthesis	3.1.2.32 1.14.13.182 6.2.1.32
4-hydroxy-2(1<i>H</i>)-quinolone biosynthesis	6.2.1.32 4.1.3.27
superpathway of quinolone and alkylquinolone biosynthesis	6.2.1.32 1.14.13.182 3.1.2.32 4.1.3.27
di-myo-inositol phosphate biosynthesis	2.7.7.74 2.7.8.34 5.5.1.4
pterostilbene biosynthesis	
anandamide degradation	3.5.1.99
dopamine degradation	2.8.2.1 1.4.3.4 1.2.1.3 2.1.1.6 2.1.1.6
pyocyanin biosynthesis	1.14.13.218 2.1.1.327
resveratrol degradation	1.13.11.-
(<i>E,E</i>)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis	1.14.14.58 4.2.3.144
&delta;-guaiene biosynthesis	4.2.3.23
citronellol degradation	6.2.1.- 1.3.8.- 1.1.99.- 1.1.99.-
<i>cis</i>-genanyl-CoA degradation	6.4.1.5 6.2.1.1 2.3.1.- 1.1.1.- 4.2.1.- 1.3.99.- 2.3.1.- 4.1.3.26 4.2.1.57
caffeoylglucarate biosynthesis	6.2.1.12 2.3.1.98 2.3.1.-
sulfur oxidation IV (intracellular sulfur)	2.8.1.- 2.8.1.- 2.8.1.- 2.8.1.-
superpathway of sulfide oxidation (phototrophic sulfur bacteria)	1.8.5.4 2.7.7.4 1.8.5.6 2.8.1.- 2.8.1.- 2.8.1.- 2.8.1.- 1.8.99.2
thiosulfate oxidation IV (multienzyme complex)	2.8.5.2 3.1.6.20
geraniol and nerol degradation	1.2.1.86 1.1.1.347
jadomycin biosynthesis	2.3.1.- 2.3.1.- 2.3.1.- 6.4.1.2 4.2.1.-
neurosporaxanthin biosynthesis	1.2.1.82 1.13.11.59 2.5.1.- 2.5.1.- 1.2.1.-
dehydrophos biosynthesis	1.1.1.309 2.1.1.M5 2.3.2.- 2.3.2.- 2.6.1.- 1.1.1.- 2.7.1.- 1.14.11.- 5.4.2.9 4.1.1.82
assimilatory sulfate reduction III	1.8.1.2 2.7.7.4 1.8.4.10
aromatic  glucosinolate activation	4.99.1.M4 4.99.1.M6 3.2.1.147
glucosylglycerate biosynthesis II	2.4.1.268
mannosylglucosylglycerate biosynthesis I	3.1.3.- 2.4.1.266 2.4.1.270
mannosylglucosylglycerate biosynthesis II	2.4.1.268
thyronamine and iodothyronamine metabolism	
tRNA splicing I	4.6.1.16 3.1.3.84 3.1.4.- 2.7.1.160 6.5.1.-
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	1.14.12.19 3.7.1.14 1.13.11.16 1.3.1.87 1.14.13.127
plaunotol biosynthesis	2.5.1.29 3.1.7.5 1.14.14.146
Fe(II) oxidation	1.9.3.1 7.1.1.2 7.1.1.8 1.16.9.1
D-galactose degradation IV	1.1.1.- 1.1.1.- 1.1.1.21
oxalate degradation I	1.2.7.10
oxalate degradation II	2.8.3.16 4.1.1.8 2.8.3.2
oxalate degradation III	4.1.1.8 1.17.1.9 3.1.2.10 1.2.1.17 2.8.3.2
oxalate degradation IV	1.2.3.4
oxalate degradation V	4.1.1.2
oxalate biosynthesis	3.7.1.1
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	4.2.1.47
queuosine biosynthesis	2.4.2.29 1.17.99.6 2.4.99.17 1.7.1.13
preQ<sub>0</sub> biosynthesis	3.5.4.16 6.3.4.20 4.3.99.3 4.1.2.50
L-ascorbate degradation IV	1.1.1.366 1.1.1.-
gallate biosynthesis	4.2.1.10
ubiquinol-8 biosynthesis (prokaryotic)	4.1.1.98 2.1.1.64 1.14.99.60 2.1.1.201 1.14.13.M56 2.1.1.222 1.14.13.240 2.5.1.39
poly-hydroxy fatty acids biosynthesis	3.3.2.10 1.14.14.M33 1.14.14.M33 3.3.2.10 1.14.14.M33 3.3.2.10 1.14.14.M33 1.14.13.- 3.3.2.10 1.14.14.M33 1.14.18.-
archaeosine biosynthesis I	2.4.2.48 2.6.1.97
L-rhamnose degradation II	1.2.1.22 1.2.1.- 4.1.2.53 4.2.1.90 3.1.1.65 1.1.1.173 1.1.1.378
L-rhamnose degradation III	1.1.1.173 1.1.1.401 4.2.1.90 3.1.1.65 1.1.1.378
(1,4)-&beta;-D-xylan degradation	3.2.1.8 3.2.1.37
sulfoacetaldehyde degradation III	1.1.1.313
toyocamycin biosynthesis	2.4.2.- 3.1.3.- 4.3.2.- 6.3.4.- 1.7.1.-
sangivamycin biosynthesis	4.2.1.-
candicidin biosynthesis	2.3.1.- 2.4.1.- 1.14.15.- 2.1.3.15 6.2.1.-
starch degradation II	2.4.1.25 3.2.1.2 3.2.1.68 3.2.1.2 3.2.1.2 3.1.3.- 3.1.3.- 2.7.9.5 2.7.9.4
methylaspartate cycle	5.4.99.2 3.1.2.30 4.1.3.24 5.1.99.1 6.4.1.3 4.1.3.24 4.2.1.148 4.3.1.2 5.4.99.1 1.4.1.2 1.1.1.42 2.3.3.16 2.3.3.1 1.1.1.37 4.2.1.2 1.3.5.1 6.2.1.5
methylhalides biosynthesis (plants)	2.1.1.165 2.1.1.165 2.1.1.165
starch degradation III	5.4.2.2 3.2.1.54 2.4.1.1 2.4.1.19
sporopollenin precursors biosynthesis	1.2.1.84 1.1.1.- 6.2.1.3 1.14.14.130 3.1.2.2 1.2.1.84 6.2.1.3 1.2.1.84 6.2.1.3 1.2.1.84 6.2.1.3 1.14.14.80 1.14.14.80 1.14.14.80 3.1.2.2 3.1.2.2 3.1.2.2
starch degradation IV	2.4.1.19 3.2.1.54 3.2.1.-
sulfur volatiles biosynthesis	2.1.1.9 2.1.1.-
starch degradation V	5.4.2.2 3.2.1.- 2.4.1.1 2.4.1.25
pinitol biosynthesis I	2.1.1.129
pinitol biosynthesis II	1.1.1.142 1.1.1.143 2.1.1.-
methane oxidation to methanol II	1.14.18.3
hydrogen production I	1.12.1.4
phytochelatins biosynthesis	2.3.2.15
nitrate reduction VII (denitrification)	1.7.2.4 1.7.5.2 1.7.5.1 1.7.2.1
CMP-legionaminate biosynthesis I	2.6.1.- 2.7.7.82 2.5.1.101 3.2.1.- 2.3.1.- 2.6.1.16 4.2.1.- 2.3.1.- 2.7.7.- 5.4.2.10
superpathway of hydrogen production	1.12.1.2 1.12.7.2
<i>o</i>-diquinones biosynthesis	1.10.3.1
<i>S</i>-methyl-5'-thioadenosine degradation III	2.4.2.44 3.5.4.31
<i>S</i>-methyl-5'-thioadenosine degradation I	3.2.2.16 2.7.1.100
<i>S</i>-methyl-5'-thioadenosine degradation II	2.4.2.28
hydrogen production II	1.12.1.2
hydrogen production III	1.12.7.2
D-xylose degradation III	1.1.1.179 3.1.1.ab 1.2.1.26 4.2.1.141 4.2.1.82
salicylate glucosides biosynthesis IV	2.4.1.-
salicortin biosynthesis	4.2.1.- 1.13.12.- 1.2.1.28 1.14.13.- 6.2.1.25 2.3.1.196 1.1.1.90
hydrogen production IV	1.12.1.3
salicin biosynthesis	1.-.-.- 2.4.1.172 1.1.1.90 1.2.1.28
4,4'-diapolycopenedioate biosynthesis	2.5.1.103 1.2.99.10 1.14.99.44 1.3.8.- 1.3.8.-
rhamnogalacturonan type I degradation I	
rhamnogalacturonan type I degradation II (bacteria)	4.2.2.24 3.2.1.172 4.2.2.23
hydrogen production V	1.17.98.e
1,3-&beta;-D-glucan biosynthesis	2.4.1.34
laminaribiose degradation	2.4.1.31
hydrogen production VI	1.2.7.4 1.12.7.2
chlorogenic acid degradation	3.1.1.42
cellulose and hemicellulose degradation (cellulolosome)	3.1.1.73 3.2.1.- 3.2.1.8
hydrogen production VIII	1.12.7.2
detoxification of reactive carbonyls in chloroplasts	1.3.1.- 1.3.1.- 1.3.1.- 1.3.1.- 1.1.1.- 1.1.1.2 1.1.1.- 1.1.1.- 1.3.1.- 1.1.1.54
flavonoid biosynthesis (in equisetum)	1.14.20.6 2.3.1.74 5.5.1.6 1.14.20.5 1.14.11.9 1.14.20.6 1.14.14.82 1.14.20.5 1.14.11.9
cellulose degradation II (fungi)	3.2.1.91 3.2.1.21 3.2.1.4
(1,3)-&beta;-D-xylan degradation	3.2.1.72 3.2.1.32
L-arabinan degradation	
xyloglucan degradation I (endoglucanase)	
scopoletin biosynthesis	1.14.11.ah 2.1.1.104
adenosine 5'-phosphoramidate biosynthesis	2.7.7.51
diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis	2.1.1.M42
6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)	4.1.2.25 2.7.6.3 3.6.1.- 3.5.4.39 3.6.1.- 3.1.4.56 3.1.4.56
fatty acid biosynthesis (plant mitochondria)	2.3.1.- 2.3.1.86 2.3.1.85 2.3.1.39 6.2.1.- 6.2.1.-
volatile esters biosynthesis (during fruit ripening)	2.3.1.84 2.3.1.84 2.3.1.84 2.3.1.196 2.3.1.84 2.3.1.84 2.3.1.84
salidroside biosynthesis	4.1.1.25 1.1.1.1 1.4.3.4
phosphatidylcholine acyl editing	6.2.1.3 2.3.1.23 3.1.1.4 3.1.1.32
diacylglycerol biosynthesis (PUFA enrichment in oilseed)	2.7.8.2 2.7.8.-
cellulose degradation I (cellulosome)	
carotenoid cleavage	1.13.11.71 1.13.11.70 1.13.11.- 1.13.11.- 1.14.99.- 1.13.11.- 1.13.12.- 1.13.11.84
xyloglucan degradation II (exoglucanase)	3.2.1.120 3.2.1.177 3.2.1.23 3.2.1.23 3.2.1.23 3.2.1.51 3.2.1.51 3.2.1.151
dTDP-D-forosamine biosynthesis	4.2.1.46 2.6.1.110 4.2.1.164 1.1.1.384 2.7.7.24
neoxanthin biosynthesis	5.3.99.9 5.2.1.-
xyloglucan degradation III (cellobiohydrolase)	3.2.1.150
glucuronoarabinoxylan degradation	
porphyran degradation	3.2.1.81 3.2.1.159 3.2.1.159 3.2.1.81 3.2.1.159 3.2.1.178
agarose degradation	3.2.1.81 3.2.1.159
&lambda;-carrageenan degradation	3.2.1.162 3.2.1.162
ornithine lipid biosynthesis	2.3.1.270 2.3.2.30
dibenzothiophene desulfurization	1.14.14.22 3.13.1.3
diphyllin biosynthesis	1.14.14.-
&kappa;-carrageenan degradation	3.2.1.83 3.1.6.- 3.2.1.- 3.1.6.-
&iota;-carrageenan degradation	3.2.1.157
molybdenum cofactor biosynthesis	2.10.1.1 2.7.7.75 2.8.1.12 2.8.1.11 4.6.1.17 4.1.99.22 2.7.7.80
justicidin B biosynthesis	1.3.1.- 1.3.1.- 1.10.3.2 1.11.1.7 1.23.1.1 1.23.1.2
phosphatidylcholine biosynthesis V	2.1.1.71 2.1.1.71 2.1.1.17
phosphatidylcholine biosynthesis VI	2.7.8.24
gellan degradation	3.2.1.179 4.2.2.25
linezolid resistance	2.1.1.224
tRNA methylation (yeast)	2.1.1.205 2.1.1.229 2.1.1.214 2.1.1.225 2.1.1.225 2.1.1.225 2.1.1.211 2.1.1.220 2.1.1.228 2.1.1.216 2.1.1.216 2.1.1.202 2.1.1.202 2.1.1.202 2.1.1.203 2.1.1.202
superpathway of methanogenesis	1.2.7.12 2.8.4.1 2.1.1.86 1.5.98.2 1.12.98.2 3.5.4.27 2.3.1.101 2.1.1.248 2.1.1.247 2.1.1.249 2.1.1.90 2.1.1.247 2.1.1.250 2.1.1.246 2.1.1.247 2.7.2.15 2.7.2.1 2.3.1.8 2.1.1.- 2.3.1.169 2.1.1.245 1.2.7.4
pyrrolnitrin biosynthesis	1.14.19.9 1.14.13.- 1.14.19.- 1.14.19.-
2-aminoethylphosphonate degradation II	1.2.1.- 2.6.1.37
spermidine biosynthesis III	4.1.1.19 4.1.1.50 3.5.3.24 2.5.1.104
6-gingerol biosynthesis	2.1.1.-
santalene biosynthesis II	4.2.3.55 4.2.3.82 4.2.3.81 4.2.3.83
fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	1.3.1.34 5.3.3.8 1.3.3.6 5.3.3.8 5.3.3.21
2-aminoethylphosphonate biosynthesis	5.4.2.9 4.1.1.82
homoglutathione biosynthesis	6.3.2.2 6.3.2.23
homophytochelatin biosynthesis	2.3.2.- 2.3.2.-
glutathione-mediated detoxification II	2.5.1.18 2.1.1.9 4.4.1.13 2.3.1.- 3.4.13.a 3.4.19.13 7.6.2.3 3.4.13.M2 3.4.17.b
nitric oxide biosynthesis I (plants)	
rutin degradation	1.13.11.24 3.1.1.- 3.2.1.-
senecionine N-oxide biosynthesis	1.14.13.101
ethylene biosynthesis II (microbes)	1.14.11.41 1.2.1.88 1.13.12.19
ethylene biosynthesis III (microbes)	1.15.1.1 2.6.1.88 1.16.1.7
chitin degradation I (archaea)	3.2.1.14 3.5.99.6 2.7.1.147 3.5.1.33 3.2.1.- 3.5.1.- 3.2.1.200
retinol biosynthesis	1.1.1.300 3.1.1.1 2.3.1.135 3.1.1.3 1.13.11.63
<i>all-trans</i>-farnesol biosynthesis	2.5.1.10 3.1.7.6 2.5.1.1 5.3.3.2
the visual cycle I (vertebrates)	1.1.1.300 1.1.1.315 3.1.1.64 2.3.1.135
pyruvate fermentation to hexanol (engineered)	2.3.1.16 2.3.1.9 1.1.1.- 1.2.1.- 1.3.1.44 4.2.1.17 1.1.1.35 2.3.1.16 1.3.1.44 4.2.1.150 1.1.1.35 1.2.7.1
3-methylbutanol biosynthesis (engineered)	1.1.1.1 4.1.1.72 2.3.3.13
retinoate biosynthesis I	1.2.1.36 1.1.1.105
long chain fatty acid ester synthesis (engineered)	4.1.1.1 2.3.1.75 1.1.5.5 6.2.1.3
retinoate biosynthesis II	1.17.1.-
isopropanol biosynthesis (engineered)	1.2.7.1 1.1.1.80 4.1.1.4 3.1.2.11 2.3.1.16 2.3.1.9
pyruvate fermentation to butanol II (engineered)	2.3.1.16 2.3.1.9 1.1.1.- 1.2.1.57 1.3.1.44 4.2.1.150 1.1.1.35
1-butanol autotrophic biosynthesis (engineered)	1.10.3.9 1.1.1.- 1.2.1.57 1.3.1.44 4.2.1.150 1.1.1.35 2.3.1.16 2.3.1.9 1.2.1.M10 2.7.1.40 4.2.1.11 5.4.2.12 2.7.2.3 4.1.1.39 2.7.1.19 5.3.1.6 5.1.3.1 2.2.1.1 3.1.3.37 4.1.2.- 2.2.1.1 3.1.3.11 4.1.2.13 5.3.1.1 1.2.1.13 1.18.1.2 1.97.1.12 7.1.1.6
kauralexin biosynthesis	1.13.12.- 1.14.13.- 5.5.1.13 4.2.3.19 4.2.3.103 1.14.13.- 1.13.12.- 1.14.13.- 1.14.13.-
zealexin biosynthesis	5.5.1.17 4.2.3.55
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	4.1.99.17 2.7.4.7
thiazole biosynthesis II (aerobic bacteria)	2.7.7.73 5.3.99.10 2.8.1.10 2.2.1.7
thiazole biosynthesis I (facultative anaerobic bacteria)	2.8.1.- 2.8.1.10 2.7.7.73 4.1.99.19 2.2.1.7
thiamine diphosphate biosynthesis II (Bacillus)	2.7.4.16 2.5.1.3
thiamine diphosphate biosynthesis I (E. coli)	2.5.1.3 2.7.4.16
superpathway of thiamine diphosphate biosynthesis II	4.1.99.17 2.7.4.16 2.5.1.3 2.7.4.7 5.3.99.10 2.8.1.10 2.2.1.7 2.7.7.73
thiamine salvage I	2.7.1.89 2.7.4.16
thiamine salvage II	2.7.1.49 2.7.4.16 2.5.1.3 2.7.4.7 2.7.1.50
thiamine salvage III	2.7.6.2
base-degraded thiamine salvage	3.5.99.2 3.5.1.-
(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis	4.4.1.4 5.3.99.M1
superpathway of glucose and xylose degradation	1.1.1.27 1.1.1.28 2.2.1.1 2.7.1.40 4.2.1.11 5.4.2.12 2.7.2.3 1.2.1.12 2.2.1.2 2.2.1.1 5.1.3.1 5.3.1.6 2.7.1.17 3.1.1.31 1.1.1.44 5.3.1.5 1.1.1.49
chitin degradation II (Vibrio)	3.2.1.14 3.2.1.52 3.2.1.52 3.2.1.202
chitin derivatives degradation	3.5.1.25 3.5.99.6 2.7.1.59 3.2.1.- 2.7.1.8 5.4.2.3 2.4.1.280
thiamine diphosphate biosynthesis III (Staphylococcus)	2.7.6.2 3.1.3.100 2.5.1.3
thiamine diphosphate biosynthesis IV (eukaryotes)	2.5.1.3 2.7.6.2 3.1.3.100
thiazole biosynthesis III (eukaryotes)	2.4.2.60
hydroxymethylpyrimidine salvage	2.7.1.49 2.7.4.7
methylbutenol biosynthesis	
sophoraflavanone G biosynthesis	2.5.1.70 2.5.1.71 1.14.14.142
pentalenolactone biosynthesis	4.2.3.7 1.14.19.8 1.14.11.- 1.14.13.170 1.1.1.340 1.14.11.35 1.14.15.-
vernolate biosynthesis III	1.13.11.58 1.11.2.3 3.1.2.-
neopentalenoketolactone and pentalenate biosynthesis	1.14.13.171 1.14.11.- 1.14.20.- 1.14.11.35 1.14.15.11 1.1.1.340 4.2.3.7 1.14.15.-
6-gingerol analog biosynthesis (engineered)	1.3.3.6 2.3.1.- 1.1.1.M19 4.2.1.119 6.2.1.12 6.2.1.3
L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis	2.6.1.13 2.3.1.57 1.5.5.2 2.7.2.11 1.2.1.41 3.5.3.1
ricinine degradation	3.5.5.2
pyrethrin I biosynthesis	2.5.1.67
chlorophyll <i>a</i> degradation II	4.99.1.10 1.3.7.12 3.1.1.14
superpathway of cholesterol degradation I (cholesterol oxidase)	2.3.1.- 2.3.1.- 2.3.1.16 1.1.1.35 4.2.1.17 1.3.8.- 2.3.1.16 4.1.99.- 4.1.99.- 1.1.1.- 1.3.1.- 2.3.1.16 1.1.1.35 4.2.1.- 1.3.99.- 1.1.1.145 6.2.1.41 1.2.1.87 4.1.3.43 4.2.1.132 3.7.1.17 1.13.11.25 1.14.14.12 1.14.15.30 1.3.99.4 4.2.1.- 1.3.99.- 2.3.1.16 1.1.1.- 4.2.1.- 1.3.99.- 2.3.1.176 1.1.1.35 4.2.1.- 1.3.99.- 6.2.1.42 5.3.3.1 1.1.3.6
phenolic malonylglucosides biosynthesis	2.3.1.- 2.3.1.- 2.3.1.- 2.4.1.35 2.4.1.35
seleno-amino acid detoxification and volatilization I	2.1.1.12
selenate reduction	2.7.7.4 1.8.1.- 1.8.1.- 1.8.4.9
seleno-amino acid detoxification and volatilization III	2.1.1.280
seleno-amino acid detoxification and volatilization II	2.1.1.12 4.4.1.- 1.2.-.-
seleno-amino acid biosynthesis (plants)	2.3.1.30 2.5.1.47 2.1.1.14 4.4.1.13 2.5.1.-
superpathway of testosterone and androsterone degradation	1.14.15.30 2.3.1.- 2.3.1.16 1.1.1.35 4.2.1.17 1.3.8.- 2.3.1.16 4.1.99.- 4.1.99.- 1.1.1.- 1.3.1.- 2.3.1.16 1.1.1.35 4.2.1.- 1.3.99.- 1.1.1.145 6.2.1.41 1.2.1.87 4.1.3.43 4.2.1.132 3.7.1.17 1.13.11.25 1.14.14.12 1.3.99.4 1.1.1.51 1.3.99.5 1.1.1.50 1.1.1.213 1.1.1.209
NADH repair	4.2.1.93 5.1.99.6
icosapentaenoate biosynthesis VI (fungi)	1.14.19.25
